name,bio,location,investment_stages,investment_markets,portfolio_companies
Abhishek Mishra,"A Few Meta Tags To Define Me

""Chatur"",""Consultant"",""Developer"",""Hacker"",""Crazy"",""Gossip King"",""Traveler"",""Technology Lover"",""Human Being"",""Sadharan"".

A Long Bio because my height is 5""9 . So it should match with that :D

Career : Jivan Ek Sangharsh : Papa ki Marr : Dhokha : Engineering kar lo bahut scope hae .

After Struggle , Cheating i Sucessfully Become The Engineer (Not an Engineer : Bahut mehnat se clear hue hae) .

Life Sucks : Sarkari Naukri mil gai : Weight gain : Boring : 1 Years .

Life jahannum : Pair pe Kulhadi : Private Job : Paise ki Lalach : 1 years 3 months : 12 companies : 50 + interviews .

Start Up ka Bhoot : Business Consultant : Salah dena : Business Badhana : Low Bank Balance High Appreciation .

Sikhne ki koi Umar nai hote : Web Development : Dosto ki free me Website Banai : Ladai hue to Delete .

Achievement : Best Web Developer : Best Digital Marketer : Best Hacker : Top Security Advisor : Top Consulting Firm .

Failure : Paise Barbaad : Dhokha : Sab Band : Futt Futt ke RoYa : Depression .

Think Tank : Market Research : Finding Investor (Koi Nai Mila) .

Website Development Company : Web Maky : 1 Years : 180 + Clients .

Thoda Paisa Aya : Lalach Badhi : Hum hosiyar Hue : New Ventures .

Online Accountant Website : Hire CA : 1 Years : India's Number 1 E-accountant Website .

Be Social : Jamane ka Bhala Karo : Angel Investor : Invested in Start Ups .

Filmoen Me interest Badha : Kahaania Website : Chote Se Producer : Har Dost Ko Hero Banna tha .",delhi-india,seed,,
Abhishek Mohan,Abhishek Mohan is the Principal of Sequoia Capital.,gurgaon-haryana,,,
Abhishek Nair,Founder: Code Samaaj,mangalore-karnataka,seed,,
Abhishek Panwar,,india,seed,,
Abhishek Prasad,Abhishek Prasad is a Managing Partner at Cornerstone Venture Partners.,,,"saas-enterprise,fintech,ai-ml,ecommerce-retail,cloud-infrastructure",
Abhishek Rungta,"Abhishek Rungta is the founder and CEO of Indusnet Technologies, a firm that specializes in all things Internet - design, development, market, training and SEO. Indusnet currently has a team size of above 400 people spread across three offices - Kolkata (India), Chennai (India) and London (UK).

Abhishek has spoken at a number of national and international conferences on various topics like Internet, Entrepreneurship, Social Media etc. Abhishek holds a Masters in Computer Science from University of Bath, UK.",kolkata-west-bengal,seed,,
Abhishek Sharma,Founder & CEO of Nexustech System.He is a Software Engineer past 5 Years.He is much pretty and better skills in programming languages.,patna-city-bihar,private_equity,"saas-enterprise,ai-ml,healthcare,telecom-connectivity",
Abhishek Uniyal,,bangalore-karnataka,seed,,
Abhishek Vaid,Abhishek Vaid is a Data Engineering at Prophecy.io.,bengaluru-karnataka,,,
Abhishek Verma,https://www.entrepenuerstories.com/press-release/featured/leveraging-ai-to-help-students-learn-better/,bangalore-karnataka,seed,,
Abhishek Vishwakarma,"Abhishek vishwakarma is a young successful entrepreneur, Networker, Leadership consultant  
has started his business journey at the young age of 18, he learned various marketing related strategies, tactics and became a successful entrepreneur And Leadership consultant.",ghazipur-uttar-pradesh,,,
Abid Alli,"Abid Alli - offers WordPress Web Development, SEO, Paid Media Marketing, Social Media Management, Video Editing and Graphic Design Services online | helping people to start their own business with the help of the latest technologies also provides business services along with teaching people to be own their own with the advanced learning skills.",lahore-punjab,early_stage_venture,,
Abidex Exchange,": Early Life and Education

Abidemi Oyewole was born and raised in Ikire, Irewole Local Government Area of Osun State, Nigeria. His early life was marked by a strong sense of curiosity and enthusiasm for learning. Growing up, he was fascinated by the workings of machines and devices, often disassembling and reassembling them to understand their inner mechanics.

Abidemi's educational journey began in Ikire, where he attended primary and secondary schools. His academic prowess earned him admission to a prestigious higher institution in Nigeria, where he pursued a degree in a related field.

Career Development

After completing his education, Abidemi relocated to Lagos, the commercial hub of Nigeria, in pursuit of better opportunities. It was during this time that he discovered his passion for bike mechanics. He enrolled in a vocational training program, where he honed his skills in repairing and maintaining bicycles. His hard work and dedication earned him a reputation as a skilled bike mechanic, with clients from all over Lagos seeking his expertise.

Cryptocurrency Trading

In recent years, Abidemi's interests shifted towards the rapidly growing world of cryptocurrency. He began to study the market trends, analyzing data and making informed decisions to buy and sell various digital currencies. His success in cryptocurrency trading was swift and impressive, with his portfolio growing significantly over time.

Today, Abidemi is a successful cryptocurrency exchange trader, leveraging his analytical skills and technical expertise to navigate the ever-changing landscape of the cryptocurrency market. His experience as a bike mechanic has also given him a unique perspective on problem-solving and troubleshooting, skills that have proven invaluable in his trading endeavors.

Personal Life

When he's not busy trading cryptocurrencies or tinkering with bikes, Abidemi enjoys exploring the city of Lagos, discovering new restaurants and cafes, and spending time with friends and family. He is an avid learner, always seeking out new knowledge and skills to improve himself.

Achievements

Abidemi's achievements are a testament to his hard work and dedication. As a bike mechanic, he has won several awards for his outstanding services, including the ""Best Bike Mechanic"" award at the Lagos Bike Festival. In his cryptocurrency trading career, he has consistently outperformed market expectations, earning recognition from peers and industry leaders.

Conclusion

Abidemi Oyewole's journey from a small town in Osun State to becoming a successful cryptocurrency exchange trader is a testament to his resilience, determination, and passion for learning. His unique blend of technical expertise and analytical skills has enabled him to succeed in multiple fields, from bike mechanics to cryptocurrency trading. As he continues to navigate the ever-changing landscape of the digital world, one thing is certain: Abidemi Oyewole will remain an force to be reckoned with in the world of cryptocurrency trading.",lagos-nigeria,early_stage_venture,,
Abi Dharshan,"Abi Dharshan is the Product Lead for the Zerion API and a Co-Founder of Social Graph Ventures and Hydra Ventures, the first venture DAO fund of funds. He has been building, investing, and writing at the intersection of capital markets, web3, and AI since his late teens.

At Zerion, Abi leads the REST API and webhooks powering onchain data infrastructure for wallets and dapps like Rainbow Wallet, Uniswap Wallet, and Farcaster. Zerion is one of the world’s leading onchain asset management platforms, with over 500,000 monthly active users and $2 billion in transaction volume.

As a venture builder, Abi helped incubate Social Graph Ventures and Hydra Ventures, pioneering DAOs investing in next-gen funds like OrangeDAO (YC founder DAO) and Xoogler Ventures (ex-Google alumni). He previously invested in fintech at Radical Ventures, a $350 million AI-focused fund.

Prior to this, Abi held product and growth roles scaling multi-million dollar technologies at Wolfram|Alpha and other startups, with a focus on user-centric design, API infrastructure, and global go-to-market strategy. His work has spanned across the US, UK, Germany, Japan, South Korea, India, UAE, and Argentina.

Abi earned his B.S. in Computational Sciences and Business from Minerva University, graduating summa cum laude. Minerva has a 2% acceptance rate and is backed by Benchmark, SpaceX, Netflix, ByteDance, and TAL.

He is also a fellow of On Deck and Gitcoin KERNEL, and writes regularly at https://twitter.com/abishekinguout.",new-york-new-york,"early_stage_venture, seed",,
Abie J Cohen,"Experienced operator and investor, previously serving as a director at UBS Wealth Management.","New York, New York","Pre-Seed, Seed, Series A","saas-enterprise,fintech,ai-ml,ecommerce-retail,climate-sustainability",
Abie Katz,,san-francisco-california,,saas-enterprise,
Abigael Titcomb,"Abbey Titcomb is the Head of Community and Governance at Radicle.

Abbey is a Northeastern University student majoring in Mechanical Engineering with a Minor in Entrepreneurship due to graduate in Spring of 2018.

Abbey is focused on providing support for all Core Community initiatives including events, networking and recruiting new members, with a primary goal of making sure that every entrepreneur’s interaction with Underscore is a great one.

Abby has a passion for problem solving and experience design in technology and has already founded her own startup called Knightly, the ultimate safety network for college students.",boston-massachusetts,,,
